ano_de_exercicio;unidade_orcamentaria_nome;classificacao_receita_formatado;origem_receita_codigo;origem_receita_descricao;unnamed_5;categoria_receita_codigo;categoria_receita_descricao;especie_receita_codigo;especie_receita_descricao;unnamed_10;tipo_receita_codigo;tipo_receita_descricao;unnamed_13;item_receita_codigo;item_receita_descricao;unnamed_16;subitem_receita_codigo;subitem_receita_descricao;unnamed_19;nivel_1_desdobramento_codigo;nivel_1_desdobramento_descricao;unnamed_22;nivel_2_desdobramento_codigo;nivel_2_desdobramento_descricao;unnamed_25;nivel_3_desdobramento_codigo;nivel_3_desdobramento_descricao;unnamed_28;valor_previsto_inicial;valor_previsto_atualizado;valor_contabilizado
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1611.02.0.1.01.000;6;RECEITA DE SERVICOS;;1;RECEITAS CORRENTES;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;;1;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINCIPAL;;1;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINC.;;0;INSCRICAO CONCURSOS PROCESSOS SELETIVOS - PRINC.;;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;;2;INSCRICAO EM CONCURSOS E PROCESSOS SELETIVOS;;0;INSCRICAO EM CONCURSOS E PROCESSOS SELETIVOS;;0;0;1487025,0
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1717.99.0.1.20.001;7;TRANSFERENCIAS CORRENTES;;1;RECEITAS CORRENTES;1;TRANSFERENCIAS DA UNIAO E DE SUAS ENTIDADES;;1;OUTRAS TRANSF. CONVENIOS UNIAO ENTIDADES - PRINCIPAL;;20;OUTRAS TRANSF. CONVENIOS UNIAO ENTIDADES - PRINC. - SEGURANCA PUBLICA;;1;SEGURANCA PUBLICA - EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - INFRAERO;;7;TRANSFERENCIAS DE CONVENIOS DA UNIAO E DE SUAS ENTIDADES;;99;OUTRAS TRANSFERENCIAS DE CONVENIOS DA UNIAO E DE SUAS ENTIDADES;;0;OUTRAS TRANSFERENCIAS DE CONVENIOS DA UNIAO E DE SUAS ENTIDADES;;0;0;121331,94
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1719.57.0.1.01.000;7;TRANSFERENCIAS CORRENTES;;1;RECEITAS CORRENTES;1;TRANSFERENCIAS DA UNIAO E DE SUAS ENTIDADES;;1;TRANSF. ESPECIAL UNIAO - PRINCIPAL;;1;TRANSF. ESPECIAL UNIAO - PRINC. - EMENDAS PARLAMENTARES INDIVIDUAIS;;0;TRANSF. ESPECIAL UNIAO - PRINC. - EMENDAS PARLAMENTARES INDIVIDUAIS;;9;OUTRAS TRANSFERENCIAS DE RECURSOS DA UNIAO E DE SUAS ENTIDADES;;57;TRANSFERENCIA ESPECIAL DA UNIAO;;0;TRANSFERENCIA ESPECIAL DA UNIAO;;0;0;0,0
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1724.99.0.1.23.002;7;TRANSFERENCIAS CORRENTES;;1;RECEITAS CORRENTES;2;TRANSFERENCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES;;1;OUTRAS TRANSF. CONVENIOS ESTADOS DF ENTIDADES - PRINCIPAL;;23;OUTRAS TRANSF. CONVENIOS ESTADOS DF ENTIDADES - PRINC. - SEGURANCA PUBLICA;;2;SEGURANCA PUBLICA - CORPO DE BOMBEIROS MILITAR DO ESTADO DO ESPIRITO SANTO - CBMES;;4;TRANSFERENCIAS DE CONVENIOS DOS ESTADOS E DF E DE SUAS ENTIDADES;;99;OUTRAS TRANSFERENCIAS DE CONVENIOS DOS ESTADOS E DF E DE SUAS ENTIDADES;;0;OUTRAS TRANSFERENCIAS DE CONVENIOS DOS ESTADOS E DF E DE SUAS ENTIDADES;;0;0;91455,7
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1724.99.0.1.23.004;7;TRANSFERENCIAS CORRENTES;;1;RECEITAS CORRENTES;2;TRANSFERENCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES;;1;OUTRAS TRANSF. CONVENIOS ESTADOS DF ENTIDADES - PRINCIPAL;;23;OUTRAS TRANSF. CONVENIOS ESTADOS DF ENTIDADES - PRINC. - SEGURANCA PUBLICA;;4;SEGURANCA PUBLICA - CORPO DE BOMBEIROS DO ESTADO DE RIO GRANDE DO NORTE - CBMRN;;4;TRANSFERENCIAS DE CONVENIOS DOS ESTADOS E DF E DE SUAS ENTIDADES;;99;OUTRAS TRANSFERENCIAS DE CONVENIOS DOS ESTADOS E DF E DE SUAS ENTIDADES;;0;OUTRAS TRANSFERENCIAS DE CONVENIOS DOS ESTADOS E DF E DE SUAS ENTIDADES;;0;0;567107,19
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1732.99.0.1.23.001;7;TRANSFERENCIAS CORRENTES;;1;RECEITAS CORRENTES;3;TRANSFERENCIAS DOS MUNICIPIOS E DE SUAS ENTIDADES;;1;OUTRAS TRANSF. CONVENIOS MUNICIPIOS ENTIDADES - PRINCIPAL;;23;OUTRAS TRANSF. CONVENIOS MUNICIPIOS ENTIDADES - PRINC. - SEGURANCA PUBLICA;;1;SEGURANCA PUBLICA - DIVERSOS MUNICIPIOS;;2;TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS E DE SUAS ENTIDADES;;99;OUTRAS TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS E DE SUAS ENTIDADES;;0;OUTRAS TRANSFERENCIAS DE CONVENIOS DOS MUNICIPIOS E DE SUAS ENTIDADES;;0;0;316930,23
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1911.01.0.1.06.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;1;MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS;;1;MULTAS LEGISL. ESPECIFICA - PRINCIPAL;;6;MULTAS LEGISL. ESPECIFICA - PRINC. - INFRACAO A LEGISLACAO DE PREVENCAO DE INCENDIO E PANICO;;0;MULTAS LEGISL. ESPECIFICA - PRINC. - INFRACAO A LEGISLACAO DE PREVENCAO DE INCENDIO E PANICO;;1;MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS;;1;MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA;;0;MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA;;0;0;1711304,39
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1911.01.0.1.11.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;1;MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS;;1;MULTAS LEGISL. ESPECIFICA - PRINCIPAL;;11;MULTAS LEGISL. ESPECIFICA - PRINC. - INFRACAO A LEGISLACAO SOBRE PRATICAS DE COMPETENCIA DO CBMMG POR INSTITUICOES CIVIS;;0;MULTAS LEGISL. ESPECIFICA - PRINC. - INFRACAO A LEGISLACAO SOBRE PRATICAS DE COMPETENCIA DO CBMMG POR INSTITUICOES CIVIS;;1;MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS;;1;MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA;;0;MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA;;0;0;62999,78
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1921.99.0.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;OUTRAS INDENIZACOES - PRINCIPAL;;99;OUTRAS INDENIZACOES - PRINC. - DEMAIS;;0;OUTRAS INDENIZACOES - PRINC. - DEMAIS;;1;INDENIZACOES;;99;OUTRAS INDENIZACOES;;0;OUTRAS INDENIZACOES;;0;0;30070,14
2024;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1922.06.3.1.99.000;9;OUTRAS RECEITAS CORRENTES;;1;RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;;1;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINCIPAL;;99;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;;0;RESTITUICAO DESPESAS PRIMARIAS EXERCICIOS ANTERIORES - PRINC. - DEMAIS;;2;RESTITUICOES;;6;RESTITUICAO DE DESPESAS DE EXERCICIOS ANTERIORES;;3;RESTITUICAO DE DESPESAS PRIMARIAS DE EXERCICIOS ANTERIORES;;0;0;1904,94
